window_index,window_label,capacity,q,query,direction,restriction,status,endpoint_rational,ordered_tie_subset_count,restricted_tie_subset_count,shared_attaining_subset_count,ordered_only_attaining_subset_count,same_buffer_subset_witnessed,ordered_witness_sha256,restricted_witness_sha256
3,jan_weekend_am_n8,2,4,mean_selected_buffer_miles,upper,pair,ATTAINED_BY_RESTRICTED_FAMILY,7497/500,1,1,1,0,True,5260b88a2f73225d6c142cec5c987eb3989d452bc3220fe42eaef1e10d395de6,db3ca7456f45d0070a51eb23601b245d757a8fd0c2bfae1fcc610b6bbd0f1af0
3,jan_weekend_am_n8,2,4,mean_selected_buffer_observed_duration_minutes,lower,pair,ATTAINED_BY_RESTRICTED_FAMILY,424/15,2,2,2,0,True,cd98e9e1b1ee0feef2cc72389e65288ce3c1535ab11bbfb1e3ea2296fcd7436a,beb8d9bd6c12424335cd53292e2e638a716d5c23d10587be823cfa10257bede9
3,jan_weekend_am_n8,2,4,mean_selected_buffer_observed_duration_minutes,upper,pair,ATTAINED_BY_RESTRICTED_FAMILY,6013/120,1,1,1,0,True,784ce68ac3562bac10e4e7fe4e64cb3e694c5eff9685f337c05d3d82349c9aa5,c103a35e385b39ce0efcbc0a026a1350f2d702b951079704414a7514023437bc
3,jan_weekend_am_n8,2,4,mean_selected_buffer_miles,lower,clique,ATTAINED_BY_RESTRICTED_FAMILY,26459/4000,1,1,1,0,True,0786da5268bb392745212ef1acf1b7435b460a9618d466b422f5f12069b04a85,c390e02a20ecd5180e9fbe46fb67646f972e17137de3d1ddfaaf57a41dc16a18
3,jan_weekend_am_n8,2,4,mean_selected_buffer_miles,upper,clique,ATTAINED_BY_RESTRICTED_FAMILY,7497/500,1,1,1,0,True,5260b88a2f73225d6c142cec5c987eb3989d452bc3220fe42eaef1e10d395de6,1eba0eeec78c1f4f900bbcc3498c14297b13c785de70c152fa42b72c34312526
3,jan_weekend_am_n8,2,4,mean_selected_buffer_observed_duration_minutes,lower,clique,ATTAINED_BY_RESTRICTED_FAMILY,424/15,2,2,2,0,True,cd98e9e1b1ee0feef2cc72389e65288ce3c1535ab11bbfb1e3ea2296fcd7436a,91dafd738105305bb6e2f288380bca618b1eb182ee284e95f1e14c1253b6cc0c
3,jan_weekend_am_n8,2,4,mean_selected_buffer_observed_duration_minutes,upper,clique,ATTAINED_BY_RESTRICTED_FAMILY,6013/120,1,1,1,0,True,784ce68ac3562bac10e4e7fe4e64cb3e694c5eff9685f337c05d3d82349c9aa5,1f2f7b37df4f06594f762289202ccb2a7f39dbd85d70efcbaf2503177918c491
3,jan_weekend_am_n8,3,2,mean_selected_buffer_miles,lower,pair,ATTAINED_BY_RESTRICTED_FAMILY,2899/500,1,1,1,0,True,7a2821844c66ed4d4caf4342b0fbd99dcd141cfdabe291dd55fe325d51f16899,8883f3ff9022afb4084921561a4bc11235c6bf6872185a1728a610739174d894
3,jan_weekend_am_n8,3,2,mean_selected_buffer_miles,upper,pair,ATTAINED_BY_RESTRICTED_FAMILY,39859/2000,1,1,1,0,True,c4a6b9bb6821e95b2de18abe2c31c8671b554dfbb18fca90d89e7d22729862e2,b97888a0cb1aa8b9cf0fae9ef7b8461904bb6b0a14168afda7079f2383c3238e
3,jan_weekend_am_n8,3,2,mean_selected_buffer_observed_duration_minutes,lower,pair,ATTAINED_BY_RESTRICTED_FAMILY,406/15,1,1,1,0,True,b0f279ebaa7f4fac7d276f127f868128f4a3eec23772bf4b6674d6eaedcc4641,42d5df72bcf3bdbb5e667bd4885ac0a59360b1409acce469dd5bd67f3f2eac5a
